url,version,title,performance,accessibility,best-practices,seo
https://www.progress.com/,Sitefinity 13.3.7600.0 PU,"Develop, Deploy & Manage High-Impact Business Apps | Progress Software",46,81,80,75
https://www.progress.com/products,Sitefinity 13.3.7600.0 PU,Products - Progress,69,88,80,90
https://www.progress.com/digital-experience,Sitefinity 13.3.7600.0 PU,Create Digital Experiences That Attract And Keep Audiences | Progress,72,88,80,97
https://www.progress.com/sitefinity-cms,Sitefinity 13.3.7600.0 PU,Content Management System (CMS) Platform | Progress Sitefinity,54,89,67,83
